datetime_beginning_ept,system_energy_price_rt
1/1/2019 12:00:00 AM,18.03
1/1/2019 1:00:00 AM,17.77
1/1/2019 2:00:00 AM,16.36
1/1/2019 3:00:00 AM,12.27
1/1/2019 4:00:00 AM,6.24
1/1/2019 5:00:00 AM,9.28
1/1/2019 6:00:00 AM,16.35
1/1/2019 7:00:00 AM,11.69
1/1/2019 8:00:00 AM,17.92
1/1/2019 9:00:00 AM,19.1
1/1/2019 10:00:00 AM,19.87
1/1/2019 11:00:00 AM,20.35
1/1/2019 12:00:00 PM,20.38
1/1/2019 1:00:00 PM,20.08
1/1/2019 2:00:00 PM,20.28
1/1/2019 3:00:00 PM,20.67
1/1/2019 4:00:00 PM,23.6
1/1/2019 5:00:00 PM,27.61
1/1/2019 6:00:00 PM,28.53
1/1/2019 7:00:00 PM,22.43
1/1/2019 8:00:00 PM,23.69
1/1/2019 9:00:00 PM,29.3
1/1/2019 10:00:00 PM,23.65
1/1/2019 11:00:00 PM,19.13
1/2/2019 12:00:00 AM,21.21
1/2/2019 1:00:00 AM,21.03
1/2/2019 2:00:00 AM,20.69
1/2/2019 3:00:00 AM,20.51
1/2/2019 4:00:00 AM,20.0
1/2/2019 5:00:00 AM,21.45
1/2/2019 6:00:00 AM,29.22
1/2/2019 7:00:00 AM,29.69
1/2/2019 8:00:00 AM,26.65
1/2/2019 9:00:00 AM,29.1
1/2/2019 10:00:00 AM,26.2
1/2/2019 11:00:00 AM,27.4
1/2/2019 12:00:00 PM,38.29
1/2/2019 1:00:00 PM,26.18
1/2/2019 2:00:00 PM,25.07
1/2/2019 3:00:00 PM,24.32
1/2/2019 4:00:00 PM,30.03
1/2/2019 5:00:00 PM,30.36
1/2/2019 6:00:00 PM,27.72
1/2/2019 7:00:00 PM,27.18
1/2/2019 8:00:00 PM,26.08
1/2/2019 9:00:00 PM,23.82
1/2/2019 10:00:00 PM,23.09
1/2/2019 11:00:00 PM,22.02
1/3/2019 12:00:00 AM,20.8
1/3/2019 1:00:00 AM,20.34
1/3/2019 2:00:00 AM,19.74
1/3/2019 3:00:00 AM,19.78
1/3/2019 4:00:00 AM,19.86
1/3/2019 5:00:00 AM,20.17
1/3/2019 6:00:00 AM,22.44
1/3/2019 7:00:00 AM,24.13
1/3/2019 8:00:00 AM,24.09
1/3/2019 9:00:00 AM,23.45
1/3/2019 10:00:00 AM,23.67
1/3/2019 11:00:00 AM,22.18
1/3/2019 12:00:00 PM,23.26
1/3/2019 1:00:00 PM,22.79
1/3/2019 2:00:00 PM,20.03
1/3/2019 3:00:00 PM,21.43
1/3/2019 4:00:00 PM,21.52
1/3/2019 5:00:00 PM,24.01
1/3/2019 6:00:00 PM,23.44
1/3/2019 7:00:00 PM,24.78
1/3/2019 8:00:00 PM,23.22
1/3/2019 9:00:00 PM,21.49
1/3/2019 10:00:00 PM,20.81
1/3/2019 11:00:00 PM,20.3
1/4/2019 12:00:00 AM,19.62
1/4/2019 1:00:00 AM,18.51
1/4/2019 2:00:00 AM,19.62
1/4/2019 3:00:00 AM,19.88
1/4/2019 4:00:00 AM,20.52
1/4/2019 5:00:00 AM,22.03
1/4/2019 6:00:00 AM,28.81
1/4/2019 7:00:00 AM,31.94
1/4/2019 8:00:00 AM,26.04
1/4/2019 9:00:00 AM,35.53
1/4/2019 10:00:00 AM,24.68
1/4/2019 11:00:00 AM,24.63
1/4/2019 12:00:00 PM,23.82
1/4/2019 1:00:00 PM,24.08
1/4/2019 2:00:00 PM,22.92
1/4/2019 3:00:00 PM,22.17
1/4/2019 4:00:00 PM,23.85
1/4/2019 5:00:00 PM,28.38
1/4/2019 6:00:00 PM,27.31
1/4/2019 7:00:00 PM,23.17
1/4/2019 8:00:00 PM,22.27
1/4/2019 9:00:00 PM,20.01
1/4/2019 10:00:00 PM,20.13
1/4/2019 11:00:00 PM,19.89
1/5/2019 12:00:00 AM,24.03
1/5/2019 1:00:00 AM,21.25
