hr,windspeed_ms,price_dollarsPerMWh,emissions_tonCO2PerMWh
1,3.073333,18.109615,0.42
2,2.165,17.83438,0.42
3,2.476667,16.444585,0.42
4,4.868333,12.35512,0.42
5,7.7,6.256224,0.42
6,10.031667,9.295066,0.42
7,10.518333,16.353626,0.42
8,9.741667,11.671526,0.42
9,10.003333,17.828557,0.42
10,9.615,18.995006,0.42
11,9.618333,19.791846,0.42
12,8.145,20.247078,0.42
13,8.155,20.281678,0.42
14,8.44,20.004899,0.42
15,7.923333,20.228169,0.42
16,7.273333,20.618823,0.42
17,5.708333,23.511087,0.42
18,5.441667,27.595236,0.42
19,7.893333,28.502792,0.42
20,10.391667,22.398099,0.42
21,10.663333,23.687711,0.42
22,11.48,29.259957,0.42
23,10.911667,23.57122,0.42
24,11.725,19.006864,0.42
25,10.83,21.054908,0.42
26,12.398333,20.838673,0.42
27,13.493333,20.563707,0.42
28,12.443333,20.429679,0.42
29,12.356667,19.939581,0.42
30,13.256667,21.446002,0.42
31,14.708333,29.495139,0.42
32,13.481667,32.246234,0.42
33,11.628333,28.054389,0.42
34,9.383333,32.693843,0.42
35,8.193333,27.481831,0.42
36,6.79,28.047774,0.42
37,6.388333,48.002577,0.42
38,5.466667,27.441395,0.42
39,5.013333,25.291384,0.42
40,4.693333,25.006226,0.42
41,4.353333,33.048442,0.42
42,3.548333,30.725723,0.42
43,2.996667,28.032979,0.42
44,1.326667,27.690307,0.42
45,1.891667,26.607275,0.42
46,1.876667,24.046199,0.42
47,2.463333,23.251674,0.42
48,2.168333,22.062042,0.42
49,2.718333,20.847436,0.42
50,2.375,20.408353,0.42
51,3.37,19.858691,0.42
52,3.72,19.901526,0.42
53,4.776667,20.016954,0.42
54,6.165,20.359549,0.42
55,6.933333,22.798199,0.42
56,7.97,24.512728,0.42
57,7.991667,24.290808,0.42
58,8.615,23.701008,0.42
59,8.206667,23.933889,0.42
60,9.075,22.452409,0.42
61,10.013333,23.574033,0.42
62,9.44,23.05584,0.42
63,9.298333,20.243614,0.42
64,9.271667,21.682305,0.42
65,10.121667,21.7904,0.42
66,10.251667,24.344872,0.42
67,10.455,23.775998,0.42
68,9.271667,25.635751,0.42
69,9.611667,24.45831,0.42
70,13.641667,22.245881,0.42
71,16.053333,21.207534,0.42
72,14.078333,20.620163,0.42
73,10.338333,19.912151,0.42
74,10.741667,19.534693,0.42
75,10.35,19.931351,0.42
76,11.455,20.128974,0.42
77,12.266667,21.027279,0.42
78,13.664,23.430519,0.42
79,16.068,34.88601,0.42
80,15.92,37.703919,0.42
81,13.45,28.974233,0.42
82,15.328333,44.649427,0.42
83,16.848333,27.417168,0.42
84,19.818333,27.262161,0.42
85,19.921667,24.97376,0.42
86,20.21,24.550282,0.42
87,15.55,23.18656,0.42
88,18.273333,22.450419,0.42
89,16.228333,24.18579,0.42
90,16.215,29.130696,0.42
91,16.191667,27.716638,0.42
92,16.65,23.433492,0.42
93,17.07,22.510292,0.42
94,19.901667,20.217446,0.42
95,20.906667,20.290915,0.42
96,20.548333,20.052859,0.42
97,21.071667,24.13622,0.42
98,20.973333,21.370726,0.42
99,17.658333,25.82667,0.42
100,16.023333,20.006703,0.42
101,17.663333,21.336189,0.42
102,14.391667,20.989898,0.42
103,13.915,19.952612,0.42
104,12.748333,22.873326,0.42
105,13.475,23.637819,0.42
106,12.2,23.553645,0.42
107,10.731667,24.059227,0.42
108,11.436667,23.377345,0.42
109,11.056667,21.826374,0.42
110,9.808333,20.593585,0.42
111,9.603333,19.136041,0.42
112,8.168333,19.061708,0.42
113,8.825,19.929722,0.42
114,9.446667,31.443128,0.42
115,8.843333,22.307695,0.42
116,7.661667,20.873202,0.42
117,6.873333,20.366383,0.42
118,6.646667,20.696746,0.42
119,8.666667,22.333786,0.42
120,9.156667,18.934069,0.42
121,8.371667,19.249545,0.42
122,7.951667,19.378719,0.42
123,6.52,19.514212,0.42
124,6.358333,19.325326,0.42
125,5.785,19.589859,0.42
126,5.283333,19.194054,0.42
127,5.161667,19.847134,0.42
128,3.658333,20.63326,0.42
129,4.39,20.690293,0.42
130,4.473333,19.870062,0.42
131,3.975,19.342314,0.42
132,3.283333,18.915342,0.42
133,3.325,18.785635,0.42
134,2.535,18.197898,0.42
135,3.64,18.197322,0.42
136,3.76,18.828431,0.42
137,4.776667,20.417085,0.42
138,5.213333,24.93389,0.42
139,6.6,24.237138,0.42
140,6.976667,22.804815,0.42
141,6.413333,22.015868,0.42
142,9.665,20.590576,0.42
143,9.416667,19.853524,0.42
144,7.991667,19.120386,0.42
145,8.646667,18.500205,0.42
146,8.378333,19.161918,0.42
147,8.74,18.773225,0.42
148,7.64,18.950587,0.42
149,8.29,19.341018,0.42
150,8.641667,22.274451,0.42
151,8.081667,45.873707,0.42
152,6.556667,25.42129,0.42
153,5.418333,25.529628,0.42
154,4.005,24.718752,0.42
155,3.406667,24.139379,0.42
156,1.708333,25.58206,0.42
157,2.443333,22.744329,0.42
158,5.308333,24.072645,0.42
159,8.11,22.806322,0.42
160,10.738333,23.227759,0.42
161,11.555,23.030595,0.42
162,13.021667,54.380925,0.42
163,15.065,25.785423,0.42
164,15.016667,23.929555,0.42
165,15.041667,24.152211,0.42
166,14.516667,23.346055,0.42
167,15.531667,22.323626,0.42
168,17.091667,20.584193,0.42
169,18.103333,20.66397,0.42
170,16.851667,19.556401,0.42
171,15.815,19.219568,0.42
172,17.311667,19.579622,0.42
173,18.581667,19.884813,0.42
174,17.478333,20.94722,0.42
175,17.12,35.571915,0.42
176,16.005,26.875995,0.42
177,14.67,22.489184,0.42
178,14.073333,21.33503,0.42
179,13.515,23.026795,0.42
180,13.365,21.277994,0.42
181,12.653333,19.953679,0.42
182,11.565,20.10701,0.42
183,10.421667,18.392566,0.42
184,9.445,19.051637,0.42
185,8.788333,20.968995,0.42
186,8.788333,28.483019,0.42
187,5.81,22.499149,0.42
188,5.1625,21.903725,0.42
189,5.1625,21.093459,0.42
190,5.1625,20.555217,0.42
191,5.1625,19.288488,0.42
192,4.515,17.26297,0.42
193,4.783333,18.041489,0.42
