capacity_MW,CAPEX_dollars_per_kW
10,5865.51
20,3545.12
30,2771.66
40,2384.93
50,2152.89
60,1998.19
70,1887.70
80,1804.83
90,1740.37
100,1688.81
110,1646.62
120,1611.46
130,1581.71
140,1556.22
150,1534.12
160,1514.78
170,1497.72
180,1482.55
190,1468.98
200,1456.77
210,1445.72
220,1435.68
230,1426.50
240,1418.10
250,1410.36
260,1403.22
270,1396.61
280,1390.47
290,1384.76
300,1379.42
310,1374.43
320,1369.76
330,1365.36
340,1361.23
350,1357.33
360,1353.64
370,1350.16
380,1346.86
390,1343.73
400,1340.75
410,1337.92
420,1335.23
430,1332.66
440,1330.20
450,1327.86
460,1325.62
470,1323.47
480,1321.41
490,1319.44
500,1317.55
