,index,capacity_MW,depth_m,duration_hr,k_type,permeability_mD,porosity,thickness_m,RTE,kWh_in,kWh_out,kW_in_avg,kW_out_avg,kg_water_per_kWh,kg_CO2_per_kWh,kg_fuel_per_kWh,dp_well_avg,dp_pipe_f_avg,T_aquifer,T_cmp_out,errors,MWh_cushion_gas,T_store_init,T_cmp_out_avg,T_exp_out_avg,p_store_min,p_store_max,solve_time,iterations,m_dot,r_f
0,0,10.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.8151646365127709,122674.58963289505,99999.98726745223,11838.08930501441,9999.991466660924,85.35471843913753,0.0,0.0,0.00969675682288501,0.0043453295276012285,,,false,502.0288669095463,316.02152033,355.63764081326144,316.02152032999993,14.0235,17.34005775,74.475417137146,23,25.87480543785736,23.83748588798861
1,1,20.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.8146511740565778,245503.83686529222,199999.98893770485,23691.11024602977,19999.990442105674,85.38288197575058,0.0,0.0,0.020819517502362776,0.0159359209762783,,,false,1008.101276426214,316.02152033,355.6574566191463,316.02152032999993,14.0235,17.34005775,86.19530820846558,26,51.76669583051945,33.774038546649805
2,2,30.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.8139663332344194,368565.577058356,299999.9713146179,35566.562814455625,29999.984165631187,85.41931457002931,0.0,0.0,0.03249405224936301,0.03432385531097625,,,false,1518.840734055254,316.02152033,355.6852961759526,316.02152032999993,14.0235,17.34005775,88.52375602722168,27,77.68317482459572,41.44737670311535
3,3,40.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.8131178529122011,491933.5491281486,399999.95124255895,47471.57156796269,39999.981707471205,85.46372950483644,0.0,0.0,0.044538709675170665,0.05936880413478084,,,false,2034.7537621106417,316.02152033,355.72078499041316,316.02152032999993,14.0235,17.34005775,91.8844256401062,28,103.63142665067889,47.96045224892726
4,4,50.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.8121090029137187,615680.7498387839,499999.8798647454,59413.16512616148,49999.96506793278,85.51607827235968,0.0,0.0,0.056870040386961064,0.09100256044923605,,,false,2556.3168946311125,316.02152033,355.7637492339399,316.02152032999993,14.0235,17.34005775,91.43235564231873,28,129.61861386895936,53.74005164577498
5,5,60.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.8109423478370918,739879.8054386987,599999.866539709,71398.38161024706,59999.97017075894,85.5764210706676,0.0,0.0,0.06944126606710968,0.12918648595951424,,,false,3083.99643085755,316.02152033,355.813975988178,316.02152032999993,14.0235,17.34005775,94.82477617263794,29,155.65210782279684,59.004979674919035
6,6,70.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.8096197844891194,864603.2136865027,699999.8675334663,83434.19775390052,69999.976377757,85.64488515504807,0.0,0.0,0.08222342612453427,0.17389676340861038,,,false,3618.257303096069,316.02152033,355.8712605043713,316.02152032999993,14.0235,17.34005775,96.43389511108398,30,181.73942185988435,63.88526104850609
7,7,80.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.8081428168881998,989923.7541065479,799999.7711482072,95527.62752183391,79999.964762841,85.7216493275089,0.0,0.0,0.09519772320863507,0.22511874796868347,,,false,4159.569278771843,316.02152033,355.9353964472742,316.02152032999993,14.0235,17.34005775,97.01403284072876,30,207.88835078847833,68.46572123963614
8,8,90.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.8065126629641308,1115915.0614300468,899999.6278357287,107685.78760869894,89999.94956236433,85.80693791152596,0.0,0.0,0.10835179249849651,0.28284480221087555,,,false,4708.412404397475,316.02152033,356.0061725262144,316.02152032999993,14.0235,17.34005775,96.01336288452148,30,234.10707345847263,72.80542602361307
9,9,100.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.804730290224659,1242651.9853856342,999999.6928476302,119915.91100774339,99999.96462986087,85.90101890339902,0.0,0.0,0.1216776322636238,0.3470735563444319,,,false,5265.280825878884,316.02152033,356.0833717680379,316.02152032999993,14.0235,17.34005775,98.84388661384583,31,260.4041987303359,76.9475493078053
10,10,110.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.8027964321731254,1370209.8013953436,1099999.5398888285,132225.2434876953,109999.95203641923,86.00420353615273,0.0,0.0,0.13517024937434935,0.4178092537286727,,,false,5830.681133947377,316.02152033,356.1667713372692,316.02152032999993,14.0235,17.34005775,97.79930758476257,31,286.7886851699708,80.92485033191035
11,11,120.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.8007115227776841,1498666.6355160829,1199999.643860191,144621.33418748726,119999.96758901898,86.11685062338162,0.0,0.0,0.14882718423152724,0.4950637329532562,,,false,6405.1448809889225,316.02152033,356.2561456783912,316.02152032999993,14.0235,17.34005775,101.91065573692322,32,313.27018991192216,84.76299182974385
12,12,130.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.7984756956509476,1628101.5198730887,1299999.4936710296,157111.8064182892,129999.95743504717,86.2393680177319,0.0,0.0,0.1626477397661005,0.5788558272738643,,,false,6989.2216041695665,316.02152033,356.3512665906999,316.02152032999993,14.0235,17.34005775,100.76841449737549,32,339.8588554856635,88.48257209555703
13,13,140.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.796088690442407,1758597.1403091562,1399999.2944444781,169704.64261632692,139999.94476935588,86.37221967692145,0.0,0.0,0.17663293068172808,0.6692140129295427,,,false,7583.492900425291,316.02152033,356.45190703494666,316.02152032999993,14.0235,17.34005775,100.06159710884094,32,366.5656575452014,92.10052844934567
14,14,150.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.7935497981161016,1890239.8899293474,1499999.4830444357,182408.16798760995,149999.9636075605,86.51593146472246,0.0,0.0,0.19078520886720476,0.7661774963487764,,,false,8188.574666420644,316.02152033,356.5578429194517,316.02152032999993,14.0235,17.34005775,102.52722811698914,33,393.40243019365147,95.63106415637765
15,15,160.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.7908578129375926,2023118.7872537796,1599999.2994004788,195230.99159913242,159999.9534028264,86.67109741719212,0.0,0.0,0.20510820168511049,0.8697968687068769,,,false,8805.11428769493,316.02152033,356.6688542713692,316.02152032999993,14.0235,17.34005775,103.15053939819336,33,420.3818519327678,99.08628738976499
16,16,170.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.788010898915716,2157329.3763364097,1699999.0611041351,208182.3271118696,169999.94064848707,86.83839199940229,0.0,0.0,0.21960692906457224,0.9801378686067858,,,false,9433.810810352175,316.02152033,356.7847295222156,316.02152032999993,14.0235,17.34005775,102.4735426902771,33,447.5178500518623,102.47673913099369
17,17,180.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.7850065062393433,2292973.771706107,1799999.3294254607,221272.00337175225,179999.96092791646,87.01858098266196,0.0,0.0,0.23428770324439546,1.0972830654987555,,,false,10075.418096204536,316.02152033,356.90526714371913,316.02152032999993,14.0235,17.34005775,107.43259477615356,34,474.82568014919593,105.8117417244708
18,18,190.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.7818412887588748,2430159.5993501055,1899999.1130456373,234510.44945553655,189999.95028988575,87.21253377605736,0.0,0.0,0.2491580148435266,1.2213332235513437,,,false,10730.74317778667,316.02152033,357.030276689971,316.02152032999993,14.0235,17.34005775,106.54131484031677,34,502.32199214763284,109.09965109627954
19,19,200.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.77851090870015,2569005.534438841,1999998.8330716968,247909.10035336282,199999.93677837643,87.42124462840694,0.0,0.0,0.2642269265880796,1.3524127319111523,,,false,11400.675785297588,316.02152033,357.1595835829971,316.02152032999993,14.0235,17.34005775,105.55180382728577,34,530.0253682199656,112.3481337243714
20,20,210.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.7750098943236122,2709641.7550475555,2099999.170234253,261480.4799038697,209999.95761449265,87.64585336630803,0.0,0.0,0.279505103928221,1.490672571242741,,,false,12086.195359166675,316.02152033,357.29303079225633,316.02152032999993,14.0235,17.34005775,113.47206139564514,35,557.9565354266322,115.56433271523493
21,21,220.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.7713314826275455,2852209.4061537664,2199998.9100128156,275238.2759916038,219999.9455921796,87.88767007904762,0.0,0.0,0.2950048380055841,1.636293272630557,,,false,12788.374122757417,316.02152033,357.4304800792109,316.02152032999993,14.0235,17.34005775,112.04269242286682,35,586.13859989866,118.7549941497394
22,22,230.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.7674673035033238,2996868.476356304,2299998.568503287,289197.89977485006,229999.92986427856,88.14821420120572,0.0,0.0,0.3107406485644867,1.7894933480256352,,,false,13508.421167073333,316.02152033,357.5718178317057,316.02152032999993,14.0235,17.34005775,112.27171993255615,35,614.5978437149597,121.92667256275278
23,23,240.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.7634070988443152,3143799.644430616,2399998.9659025664,303376.73468385084,239999.95117291194,88.4292570049823,0.0,0.0,0.3267295200321377,1.950535322495591,,,false,14247.700133829168,316.02152033,357.7169576604056,316.02152032999993,14.0235,17.34005775,114.53763151168823,36,643.3642395954648,125.08584668364647
24,24,250.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.759138385612272,3293205.3958278038,2499998.627678342,317794.4134596771,249999.93574132456,88.73287463130507,0.0,0.0,0.3429911640567773,2.119732546833269,,,false,15007.745190423038,316.02152033,357.8658429078483,316.02152032999993,14.0235,17.34005775,114.87417960166931,36,672.4720652673528,128.23902063071006
25,25,260.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.7546458428116168,3445323.4027910414,2599998.9830578333,332473.77881289,259999.95339379943,89.06152997730209,0.0,0.0,0.35954909733691837,2.297464934640601,,,false,15790.339260999395,316.02152033,358.01845590459476,316.02152032999993,14.0235,17.34005775,116.31571912765503,37,701.9613567220906,131.39296059257825
26,26,270.0,1402.35,10.0,expected,38.33,0.2292,62.44,0.7499107652851542,3600426.5400209464,2699998.621980088,347441.2570329977,269999.93673912046,89.41816303983845,0.0,0.0,0.376430999034325,2.4841893086059064,,,false,16597.531866083955,316.02152033,358.1748208051655,316.02152032999993,14.0235,17.34005775,115.50962281227112,37,731.8788568681937,134.5547812594858
