,generation_MW,VRE_MW,emissions_tonCO2PerMWh,price_dollarsPerMWh,windspeed_ms
2017-01-01 00:00:00,1872.0,1872.0,0.0,26.657896,3.0733330000000003
2017-01-01 01:00:00,1638.0,1638.0,0.0,25.757239000000002,2.165
2017-01-01 02:00:00,1493.9,1493.9,0.0,25.759583,2.476667
2017-01-01 03:00:00,1558.2,1558.2,0.0,25.661556,4.868333
2017-01-01 04:00:00,1398.8,1398.8,0.0,25.705856,7.7
2017-01-01 05:00:00,1221.9,1221.9,0.0,26.259121999999998,10.031667
2017-01-01 06:00:00,1123.6,1123.6,0.0,27.529945,10.518333
2017-01-01 07:00:00,886.8,886.8,0.0,28.222693,9.741667
2017-01-01 08:00:00,744.0,744.0,0.0,28.214431,10.003333
2017-01-01 09:00:00,543.9,543.9,0.0,28.682814,9.615
2017-01-01 10:00:00,398.5,398.5,0.0,28.573867,9.618333
2017-01-01 11:00:00,264.2,264.2,0.0,28.236744,8.145
2017-01-01 12:00:00,464.0,464.0,0.0,27.191178000000004,8.155
2017-01-01 13:00:00,93.2,93.2,0.0,26.55113,8.44
2017-01-01 14:00:00,60.2,60.2,0.0,26.393937,7.923333
2017-01-01 15:00:00,35.8,35.8,0.0,26.387990999999996,7.273333
2017-01-01 16:00:00,117.1,117.1,0.0,28.209854999999997,5.7083330000000005
2017-01-01 17:00:00,354.7,354.7,0.0,40.925401,5.441667
2017-01-01 18:00:00,713.1,713.1,0.0,38.167587,7.893333
2017-01-01 19:00:00,1420.0,1420.0,0.0,36.277158,10.391667
2017-01-01 20:00:00,2179.6,2179.6,0.0,30.673921000000004,10.663333
2017-01-01 21:00:00,2959.8,2959.8,0.0,28.556131,11.48
2017-01-01 22:00:00,3290.2,3290.2,0.0,26.862057,10.911667
2017-01-01 23:00:00,3268.4,3268.4,0.0,25.434001000000002,11.725
2017-01-02 00:00:00,3414.8,3414.8,0.0,23.296953,10.83
2017-01-02 01:00:00,3149.5,3149.5,0.0,22.484829,12.398333000000001
2017-01-02 02:00:00,3101.7,3101.7,0.0,22.128334,13.493332999999998
2017-01-02 03:00:00,2988.3,2988.3,0.0,22.161357000000002,12.443333
2017-01-02 04:00:00,2874.6,2874.6,0.0,22.471547,12.356667
2017-01-02 05:00:00,2445.2,2445.2,0.0,23.319517,13.256667000000002
2017-01-02 06:00:00,2137.4,2137.4,0.0,25.355356,14.708332999999998
2017-01-02 07:00:00,2173.0,2173.0,0.0,26.889258,13.481667000000002
2017-01-02 08:00:00,2122.4,2122.4,0.0,28.633609999999997,11.628333
2017-01-02 09:00:00,1941.8,1941.8,0.0,29.053031,9.383333
2017-01-02 10:00:00,2223.4,2223.4,0.0,30.512157000000002,8.193333
2017-01-02 11:00:00,2040.7,2040.7,0.0,29.898690000000002,6.79
2017-01-02 12:00:00,1896.4,1896.4,0.0,28.473616999999997,6.388333
2017-01-02 13:00:00,1432.9,1432.9,0.0,28.202952000000003,5.466667
2017-01-02 14:00:00,1353.4,1353.4,0.0,27.465294,5.013333
2017-01-02 15:00:00,1403.3,1403.3,0.0,27.270725,4.693333
2017-01-02 16:00:00,1398.2,1398.2,0.0,30.062381,4.353333
2017-01-02 17:00:00,1271.3,1271.3,0.0,40.382804,3.548333
2017-01-02 18:00:00,1596.9,1596.9,0.0,38.146978000000004,2.996667
2017-01-02 19:00:00,1950.4,1950.4,0.0,35.688561,1.326667
2017-01-02 20:00:00,2227.3,2227.3,0.0,29.945786,1.8916669999999998
2017-01-02 21:00:00,2328.0,2328.0,0.0,27.796955,1.8766669999999999
2017-01-02 22:00:00,2166.0,2166.0,0.0,25.797147,2.463333
2017-01-02 23:00:00,1971.8,1971.8,0.0,23.083117,2.168333
2017-01-03 00:00:00,1721.6,1721.6,0.0,24.513307,2.7183330000000003
2017-01-03 01:00:00,1439.7,1439.7,0.0,23.565123999999997,2.375
2017-01-03 02:00:00,1293.0,1293.0,0.0,23.161969,3.37
2017-01-03 03:00:00,1279.8,1279.8,0.0,23.144594,3.72
2017-01-03 04:00:00,1100.2,1100.2,0.0,23.786623000000002,4.776667
2017-01-03 05:00:00,1117.8,1117.8,0.0,25.446237,6.165
2017-01-03 06:00:00,1228.3,1228.3,0.0,33.220546999999996,6.933333
2017-01-03 07:00:00,1356.4,1356.4,0.0,34.648657,7.97
2017-01-03 08:00:00,1293.1,1293.1,0.0,33.311627,7.991667
2017-01-03 09:00:00,1506.6,1506.6,0.0,34.640483,8.615
2017-01-03 10:00:00,1816.4,1816.4,0.0,37.064603000000005,8.206667
2017-01-03 11:00:00,2378.6,2378.6,0.0,37.542989,9.075
2017-01-03 12:00:00,2638.0,2638.0,0.0,33.215494,10.013333
