year month day hour minute second windspeed_ms
2015 1 1 0 5 5 3.073333
2015 1 1 1 5 5 2.165000
2015 1 1 2 5 5 2.476667
2015 1 1 3 5 5 4.868333
2015 1 1 4 5 5 7.700000
2015 1 1 5 5 5 10.031667
2015 1 1 6 5 5 10.518333
2015 1 1 7 5 5 9.741667
2015 1 1 8 5 5 10.003333
2015 1 1 9 5 5 9.615000
2015 1 1 10 5 5 9.618333
2015 1 1 11 5 5 8.145000
2015 1 1 12 5 5 8.155000
2015 1 1 13 5 5 8.440000
2015 1 1 14 5 5 7.923333
2015 1 1 15 5 5 7.273333
2015 1 1 16 5 5 5.708333
2015 1 1 17 5 5 5.441667
2015 1 1 18 5 5 7.893333
2015 1 1 19 5 5 10.391667
2015 1 1 20 5 5 10.663333
2015 1 1 21 5 5 11.480000
2015 1 1 22 5 5 10.911667
2015 1 1 23 5 5 11.725000
2015 1 2 0 5 5 10.830000
2015 1 2 1 5 5 12.398333
2015 1 2 2 5 5 13.493333
2015 1 2 3 5 5 12.443333
2015 1 2 4 5 5 12.356667
2015 1 2 5 5 5 13.256667
2015 1 2 6 5 5 14.708333
2015 1 2 7 5 5 13.481667
2015 1 2 8 5 5 11.628333
2015 1 2 9 5 5 9.383333
2015 1 2 10 5 5 8.193333
2015 1 2 11 5 5 6.790000
2015 1 2 12 5 5 6.388333
2015 1 2 13 5 5 5.466667
2015 1 2 14 5 5 5.013333
2015 1 2 15 5 5 4.693333
2015 1 2 16 5 5 4.353333
2015 1 2 17 5 5 3.548333
2015 1 2 18 5 5 2.996667
2015 1 2 19 5 5 1.326667
2015 1 2 20 5 5 1.891667
2015 1 2 21 5 5 1.876667
2015 1 2 22 5 5 2.463333
2015 1 2 23 5 5 2.168333
2015 1 3 0 5 5 2.718333
2015 1 3 1 5 5 2.375000
2015 1 3 2 5 5 3.370000
2015 1 3 3 5 5 3.720000
2015 1 3 4 5 5 4.776667
2015 1 3 5 5 5 6.165000
2015 1 3 6 5 5 6.933333
2015 1 3 7 5 5 7.970000
2015 1 3 8 5 5 7.991667
2015 1 3 9 5 5 8.615000
2015 1 3 10 5 5 8.206667
2015 1 3 11 5 5 9.075000
2015 1 3 12 5 5 10.013333
2015 1 3 13 5 5 9.440000
2015 1 3 14 5 5 9.298333
2015 1 3 15 5 5 9.271667
2015 1 3 16 5 5 10.121667
2015 1 3 17 5 5 10.251667
2015 1 3 18 5 5 10.455000
2015 1 3 19 5 5 9.271667
2015 1 3 20 5 5 9.611667
2015 1 3 21 5 5 13.641667
2015 1 3 22 5 5 16.053333
2015 1 3 23 5 5 14.078333
2015 1 4 0 5 5 10.338333
2015 1 4 1 5 5 10.741667
2015 1 4 2 5 5 10.350000
2015 1 4 3 5 5 11.455000
2015 1 4 4 5 5 12.266667
2015 1 4 5 5 5 13.664000
2015 1 4 6 5 5 16.068000
2015 1 4 7 5 5 15.920000
2015 1 4 8 5 5 13.450000
2015 1 4 9 5 5 15.328333
2015 1 4 10 5 5 16.848333
2015 1 4 11 5 5 19.818333
2015 1 4 12 5 5 19.921667
2015 1 4 13 5 5 20.210000
2015 1 4 14 5 5 15.550000
