,generation_MW,VRE_MW,emissions_tonCO2PerMWh,price_dollarsPerMWh,windspeed_ms
7/8/2019 0:00,93887.7,1531.3,0.439527476,19.1,11.118333
7/8/2019 1:00,90163.4,1457.9,0.427705603,18.76,11.59
7/8/2019 2:00,87699.4,1318.3,0.418361608,17.52,12.301667
7/8/2019 3:00,85743.5,1102.8,0.409017613,17.3,11.698333
7/8/2019 4:00,85973.2,1027.5,0.414928549,17.93,11.073333
7/8/2019 5:00,88483.3,933.5,0.420839486,18.72,10.79
7/8/2019 6:00,91923.7,1039.2,0.426750422,18.67,10.596667
7/8/2019 7:00,96540.4,1043.4,0.432661359,20.54,10.278333
7/8/2019 8:00,100235.2,729.5,0.451349349,23.88,9.916667
7/8/2019 9:00,104747.1,438.3,0.473470397,24.01,10.038333
7/8/2019 10:00,108988.9,527.8,0.489901375,24.33,9.566667
7/8/2019 11:00,111986.1,696.3,0.488725329,33.25,9.24
7/8/2019 12:00,114577.2,747.2,0.505156306,27.93,8.771667
7/8/2019 13:00,118837.5,778.5,0.49924537,39.05,9.041667
7/8/2019 14:00,121305.3,864.6,0.48055738,52.78,9.6
7/8/2019 15:00,123689.7,931.4,0.486468316,31.21,10.293333
7/8/2019 16:00,125643.7,914.2,0.492379253,61.15,10.908333
7/8/2019 17:00,126627.7,691.2,0.492379253,45.73,11.386667
7/8/2019 18:00,124852.1,575,0.501723248,35.71,12.265
7/8/2019 19:00,121525.9,464.3,0.507634185,26.67,11.791667
7/8/2019 20:00,115741.8,594.4,0.501723248,23.46,12.111667
7/8/2019 21:00,112639.3,777.7,0.495812311,22.94,11.776667
7/8/2019 22:00,106315.5,1219.1,0.473470397,20.98,11.235
7/8/2019 23:00,98840.8,1589,0.448871471,17.2,11.688333
7/9/2019 0:00,92009.3,1520.9,0.427705603,17.56,10.041667
7/9/2019 1:00,88148.5,1783,0.412450671,15.7,9.198333
7/9/2019 2:00,85435.9,1917.8,0.403106676,15.29,10.025
7/9/2019 3:00,83249.5,1817,0.400628798,14.57,9.995
7/9/2019 4:00,82516,1734,0.391284803,14.55,10.015
7/9/2019 5:00,84889.2,1612.1,0.403106676,14.96,9.5
7/9/2019 6:00,87434.7,1467.7,0.414928549,15,12.195
7/9/2019 7:00,90566.8,1509.6,0.411495491,16.93,9.591667
7/9/2019 8:00,96735.6,1438.2,0.436094417,22.86,9.673333
7/9/2019 9:00,102028.4,1260.8,0.464126402,21.34,9.393333
7/9/2019 10:00,108932.6,1366.9,0.474646443,24.04,9.985
7/9/2019 11:00,115151.3,1462.5,0.49924537,37.9,9.575
